left,right,up,down,Move
-,?,-,?,right
-,?,-,?,down
-,?,-,L,right
-,?,-,B,right
-,?,-,T,right
-,L,-,?,down
-,L,-,L,right
-,L,-,L,down
-,L,-,B,right
-,L,-,T,down
-,B,-,?,down
-,B,-,L,down
-,B,-,B,right
-,B,-,B,down
-,B,-,T,down
-,T,-,?,down
-,T,-,L,right
-,T,-,B,right
-,T,-,T,right
-,T,-,T,down
?,?,-,?,left
?,?,-,?,right
?,?,-,?,down
?,?,-,L,left
?,?,-,L,right
?,?,-,B,left
?,?,-,B,right
?,?,-,T,left
?,?,-,T,right
?,L,-,?,left
?,L,-,?,down
?,L,-,L,left
?,L,-,B,left
?,L,-,T,left
?,B,-,?,left
?,B,-,?,down
?,B,-,L,left
?,B,-,B,left
?,B,-,T,left
?,T,-,?,left
?,T,-,?,down
?,T,-,L,left
?,T,-,B,left
?,T,-,T,left
L,?,-,?,right
L,?,-,?,down
L,?,-,L,right
L,?,-,B,right
L,?,-,T,right
L,L,-,?,down
L,L,-,L,left
L,L,-,L,right
L,L,-,L,down
L,L,-,B,left
L,L,-,B,right
L,L,-,T,down
L,B,-,?,down
L,B,-,L,left
L,B,-,L,down
L,B,-,B,left
L,B,-,T,down
L,T,-,?,down
L,T,-,L,right
L,T,-,B,right
L,T,-,T,right
L,T,-,T,down
B,?,-,?,right
B,?,-,?,down
B,?,-,L,right
B,?,-,B,right
B,?,-,T,right
B,L,-,?,down
B,L,-,L,right
B,L,-,L,down
B,L,-,B,right
B,L,-,T,down
B,B,-,?,down
B,B,-,L,down
B,B,-,B,left
B,B,-,B,right
B,B,-,B,down
B,B,-,T,down
B,T,-,?,down
B,T,-,L,right
B,T,-,B,right
B,T,-,T,right
B,T,-,T,down
T,?,-,?,right
T,?,-,?,down
T,?,-,L,right
T,?,-,B,right
T,?,-,T,right
T,L,-,?,down
T,L,-,L,left
T,L,-,B,left
T,L,-,T,left
T,L,-,T,down
T,B,-,?,down
T,B,-,L,left
T,B,-,B,left
T,B,-,T,left
T,B,-,T,down
T,T,-,?,down
T,T,-,L,left
T,T,-,L,right
T,T,-,B,left
T,T,-,B,right
T,T,-,T,left
T,T,-,T,right
T,T,-,T,down
?,-,-,?,left
